ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone
10001,"26,966","21,993","14,480","2,013",18,"4,527"
10002,"76,807","56,900","18,892","5,711",309,"30,222"
10003,"54,447","50,069","36,143","2,813",54,"9,110"
10004,"4,795","4,592","2,707",150,0,"1,540"
10005,"8,637","8,048","6,286",147,0,"1,180"
10006,"3,894","3,672","2,304",255,0,895
10007,"8,194","7,274","5,430",719,0,"1,047"
10009,"60,000","45,317","30,490","4,067",102,"7,740"
10010,"33,193","29,850","20,660","2,943",48,"4,955"
10011,"51,867","44,756","35,591","2,040",0,"4,825"
10012,"22,269","20,293","14,888",747,0,"4,131"
10013,"29,563","27,220","16,007",834,26,"9,160"
10014,"29,815","27,186","24,239",487,27,"1,377"
10016,"56,758","49,967","34,707","2,316",4,"9,916"
10017,"15,514","14,786","10,893",426,0,"2,762"
10018,"8,063","7,029","3,997",398,0,"2,272"
10019,"43,989","36,279","24,802","1,951",0,"8,212"
10021,"42,484","40,047","34,986",127,19,"3,893"
10022,"33,303","30,166","25,621",391,26,"3,433"
10023,"65,891","60,366","46,140","2,723",9,"8,331"
10024,"63,916","56,470","49,497","1,495",0,"3,588"
10025,"96,918","75,124","52,510","9,185",75,"9,762"
10026,"39,401","31,778","8,610","19,196",19,"2,339"
10027,"65,840","48,870","17,184","23,235",220,"5,679"
10028,"47,793","44,181","39,098",471,0,"3,494"
10029,"77,661","42,092","11,698","19,451",67,"8,161"
10030,"31,611","22,520","3,088","16,989",0,"1,028"
10031,"61,801","30,447","10,799","14,689",59,"2,612"
10032,"60,529","21,482","9,178","8,077",48,"2,646"
10033,"60,739","20,297","15,113","2,273",59,"1,718"
10034,"43,365","12,597","7,960","2,273",50,"1,154"
10035,"37,042","20,749","4,857","13,482",11,"1,375"
10036,"30,437","24,436","15,472","2,007",55,"5,116"
10037,"19,374","15,727","1,601","12,840",19,698
10038,"23,356","21,091","10,742","2,266",55,"6,570"
10039,"27,234","18,122","2,434","14,200",51,627
10040,"45,771","13,373","9,510","1,484",51,"1,024"
10044,"12,155","10,858","4,832","1,492",0,"3,987"
10065,"31,270","28,696","23,043",606,0,"4,304"
10069,"5,774","5,519","2,723",84,0,"1,866"
10075,"23,391","21,518","18,613",423,94,"1,659"
10128,"58,147","50,604","39,664","2,875",20,"5,694"
10280,"8,582","7,492","5,373",138,0,"1,777"
10282,"6,419","6,142","4,526",124,0,993
10301,"38,736","28,638","17,542","6,829",129,"2,849"
10302,"18,144","10,949","5,210","4,246",0,"1,051"
10303,"27,469","16,751","4,335","8,543",25,"2,678"
10304,"43,849","33,952","17,393","11,066",76,"4,851"
10305,"44,531","38,004","25,555","2,711",24,"8,648"
10306,"55,805","46,903","37,359","2,016",29,"5,691"
10307,"14,828","13,102","12,560",21,0,473
10308,"30,353","26,895","24,793",414,0,"1,171"
10309,"35,832","33,019","30,927",139,147,"1,088"
10310,"25,976","18,405","11,328","4,871",21,"1,410"
10312,"63,935","56,081","50,218",493,54,"4,500"
10314,"93,736","79,538","56,918","3,500",167,"16,691"
10451,"50,118","22,003","2,081","18,495",101,611
10452,"79,838","25,777","1,640","21,221",72,957
10453,"80,393","24,877","1,666","19,610",52,"1,577"
10454,"38,908","11,774","1,327","9,988",44,40
10455,"42,781","11,565",855,"9,769",6,345
10456,"90,314","38,112","1,491","34,061",188,590
10457,"79,443","27,714","1,412","24,321",56,468
10458,"86,757","24,259","6,050","13,775",283,"2,894"
10459,"51,303","16,704",820,"15,117",128,135
10460,"59,979","20,040","1,979","15,566",136,729
10461,"52,756","26,284","15,588","3,961",80,"5,759"
10462,"78,470","40,867","8,534","17,499",390,"11,577"
10463,"73,256","35,529","21,529","8,721",226,"2,676"
10464,"4,417","3,230","3,033",31,0,87
10465,"46,205","25,275","17,951","3,697",0,"2,062"
10466,"75,767","55,586","1,735","48,251",181,"1,857"
10467,"102,209","48,831","9,410","29,546",729,"6,373"
10468,"82,480","17,070","2,136","11,423",268,"2,151"
10469,"75,290","54,002","7,078","40,163",62,"4,096"
10470,"16,446","13,073","6,267","5,515",0,559
10471,"23,387","17,008","13,065","2,169",0,895
10472,"66,720","26,392","1,716","16,263",116,"5,657"
10473,"60,296","22,260","1,437","18,545",236,893
10474,"11,312","3,600",252,"3,187",60,25
10475,"44,509","30,623","2,301","26,003",0,"1,000"
11004,"16,426","14,592","4,179","1,067",82,"8,269"
11101,"33,789","26,751","11,829","3,877",0,"9,385"
11102,"27,876","20,678","13,441","1,734",210,"4,154"
11103,"35,912","26,858","19,570",875,0,"5,071"
11104,"27,575","20,172","11,459",456,23,"7,027"
11105,"38,311","30,049","23,967",978,40,"3,327"
11106,"40,472","29,545","17,451","2,435",107,"7,340"
11109,"6,712","6,318","3,561",38,0,"2,334"
11201,"68,777","60,645","39,117","8,485",78,"9,458"
11203,"79,499","74,180","3,084","65,890",90,"1,456"
11204,"82,140","71,515","42,934",613,566,"24,770"
11205,"50,681","42,574","25,013","12,102",207,"3,114"
11206,"90,903","58,039","33,531","16,639",42,"5,456"
11207,"97,690","64,038","4,976","53,948",67,"1,503"
11208,"107,724","64,016","3,123","49,689",57,"7,481"
11209,"72,938","59,489","44,590","2,677",83,"9,881"
11210,"65,854","61,170","20,668","34,127",0,"3,169"
11211,"65,925","48,492","39,720","2,459",69,"3,927"
11212,"78,296","64,976","2,482","57,409",49,828
11213,"69,392","61,126","14,650","42,903",0,"1,214"
11214,"95,361","78,882","38,739","1,564",49,"34,806"
11215,"73,419","61,451","48,592","2,326",40,"6,532"
11216,"62,210","54,249","18,869","28,924",21,"2,784"
11217,"42,107","36,059","21,746","7,515",43,"3,644"
11218,"76,370","63,926","39,986","5,788",35,"14,713"
11219,"93,119","81,580","56,362","1,174",106,"21,855"
11220,"93,584","56,772","14,539","1,705",219,"39,198"
11221,"89,728","60,682","17,907","35,470",36,"3,953"
11222,"39,669","33,976","28,802","1,181",22,"1,569"
11223,"83,565","72,343","42,942","4,273",119,"21,580"
11224,"48,110","38,432","23,929","9,004",137,"4,125"
11225,"59,465","53,319","17,166","32,510",17,"1,618"
11226,"99,776","84,998","13,641","63,800",206,"2,883"
11228,"45,267","39,615","23,152",440,31,"15,237"
11229,"85,538","77,704","50,725","4,632",72,"19,812"
11230,"91,789","81,752","57,258","6,847",0,"13,971"
11231,"40,311","33,874","24,312","4,577",64,"1,960"
11232,"28,501","14,183","6,499","1,942",19,"4,604"
11233,"85,633","71,976","9,793","57,952",294,"1,154"
11234,"94,254","85,684","32,593","41,612",224,"7,528"
11235,"84,859","77,207","60,353","1,706",0,"10,849"
11236,"102,238","93,476","4,016","82,918",117,"2,384"
11237,"50,590","20,892","11,711","3,564",189,"3,269"
11238,"58,597","51,977","28,330","16,436",0,"3,633"
11239,"15,917","13,438","2,460","9,950",0,438
11354,"53,375","45,901","8,846","1,719",68,"34,128"
11355,"80,918","68,816","6,046","1,659",321,"59,568"
11356,"27,295","15,531","6,470",337,0,"8,449"
11357,"44,030","37,360","25,467",194,36,"10,805"
11358,"38,103","30,939","11,937",265,213,"17,414"
11360,"20,076","17,916","11,253",224,0,"5,955"
11361,"30,006","25,648","11,899","1,372",48,"11,797"
11362,"19,217","17,370","7,477",463,0,"9,143"
11363,"7,424","6,616","3,668",62,87,"2,569"
11364,"39,015","32,699","12,023",743,292,"18,715"
11365,"45,439","36,162","11,143","4,292",63,"19,534"
11366,"13,922","12,275","4,697",843,0,"6,162"
11367,"42,362","35,205","19,117","2,713",75,"11,983"
11368,"116,469","28,390","5,670","7,947",67,"13,502"
11369,"31,550","13,891","2,893","5,216",43,"5,055"
11370,"29,780","18,476","7,573","3,816",93,"6,602"
11372,"67,252","31,253","12,518","1,925",0,"14,431"
11373,"102,104","58,620","5,183","1,352",354,"49,629"
11374,"47,019","37,609","18,516","1,937",0,"14,511"
11375,"76,091","65,089","37,879","1,999",8,"21,693"
11377,"85,255","52,174","17,408","1,304",53,"31,345"
11378,"39,994","25,910","19,711",353,24,"4,896"
11379,"39,805","31,579","25,687",206,42,"4,513"
11385,"109,111","58,314","46,484","2,147",30,"7,507"
11411,"21,605","20,158",526,"19,055",0,54
11412,"41,782","39,146",498,"34,884",254,"1,351"
11413,"45,661","42,556",544,"39,645",69,712
11414,"30,915","23,213","19,924","1,119",0,"1,583"
11415,"20,351","15,530","9,287","1,199",149,"4,069"
11416,"27,098","14,680","3,423","1,021",0,"9,002"
11417,"33,236","20,944","5,680","2,298",21,"9,853"
11418,"38,938","23,266","6,992","3,135",313,"9,492"
11419,"50,107","40,335","1,952","6,464",308,"17,717"
11420,"51,831","39,954","2,375","12,102",727,"17,302"
11421,"42,704","17,268","6,030","1,846",0,"7,604"
11422,"34,063","30,790","1,862","26,547",95,"1,290"
11423,"30,983","25,969","3,540","10,560",95,"8,809"
11426,"20,959","16,748","5,193","1,400",10,"9,067"
11427,"25,890","20,572","3,982","5,556",20,"8,742"
11428,"21,184","15,396","1,987","3,918",23,"6,187"
11429,"28,643","24,504",658,"19,137",204,"1,555"
11432,"64,858","50,900","7,753","10,363",526,"28,258"
11433,"41,396","35,637","1,129","23,552",667,"6,777"
11434,"66,424","59,371","1,324","52,264",131,"2,157"
11435,"60,842","41,923","7,922","14,727",215,"13,018"
11436,"21,248","18,366",278,"12,674",117,"1,666"
11691,"70,797","53,397","17,752","29,828",0,"2,946"
11692,"24,639","18,555","3,263","12,880",0,"1,407"
11693,"14,147","9,939","6,036","2,776",39,415
11694,"22,432","18,680","16,507","1,254",0,520
11697,"3,782","3,574","3,505",9,0,20