ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,,,,,,,,,,
ZCTA5 06390,58,54,46,0,0,0,,,,,,,,,,
ZCTA5 10001,"26,966","21,993","14,480","2,013",18,"4,527",,,,,,,,,,
ZCTA5 10002,"76,807","56,900","18,892","5,711",309,"30,222",,,,,,,,,,
ZCTA5 10003,"54,447","50,069","36,143","2,813",54,"9,110",,,,,,,,,,
ZCTA5 10004,"4,795","4,592","2,707",150,0,"1,540",,,,,,,,,,
ZCTA5 10005,"8,637","8,048","6,286",147,0,"1,180",,,,,,,,,,
ZCTA5 10006,"3,894","3,672","2,304",255,0,895,,,,,,,,,,
ZCTA5 10007,"8,194","7,274","5,430",719,0,"1,047",,,,,,,,,,
ZCTA5 10009,"60,000","45,317","30,490","4,067",102,"7,740",,,,,,,,,,
ZCTA5 10010,"33,193","29,850","20,660","2,943",48,"4,955",,,,,,,,,,
ZCTA5 10011,"51,867","44,756","35,591","2,040",0,"4,825",,,,,,,,,,
ZCTA5 10012,"22,269","20,293","14,888",747,0,"4,131",,,,,,,,,,
ZCTA5 10013,"29,563","27,220","16,007",834,26,"9,160",,,,,,,,,,
ZCTA5 10014,"29,815","27,186","24,239",487,27,"1,377",,,,,,,,,,
ZCTA5 10016,"56,758","49,967","34,707","2,316",4,"9,916",,,,,,,,,,
ZCTA5 10017,"15,514","14,786","10,893",426,0,"2,762",,,,,,,,,,
ZCTA5 10018,"8,063","7,029","3,997",398,0,"2,272",,,,,,,,,,
ZCTA5 10019,"43,989","36,279","24,802","1,951",0,"8,212",,,,,,,,,,
ZCTA5 10020,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10021,"42,484","40,047","34,986",127,19,"3,893",,,,,,,,,,
ZCTA5 10022,"33,303","30,166","25,621",391,26,"3,433",,,,,,,,,,
ZCTA5 10023,"65,891","60,366","46,140","2,723",9,"8,331",,,,,,,,,,
ZCTA5 10024,"63,916","56,470","49,497","1,495",0,"3,588",,,,,,,,,,
ZCTA5 10025,"96,918","75,124","52,510","9,185",75,"9,762",,,,,,,,,,
ZCTA5 10026,"39,401","31,778","8,610","19,196",19,"2,339",,,,,,,,,,
ZCTA5 10027,"65,840","48,870","17,184","23,235",220,"5,679",,,,,,,,,,
ZCTA5 10028,"47,793","44,181","39,098",471,0,"3,494",,,,,,,,,,
ZCTA5 10029,"77,661","42,092","11,698","19,451",67,"8,161",,,,,,,,,,
ZCTA5 10030,"31,611","22,520","3,088","16,989",0,"1,028",,,,,,,,,,
ZCTA5 10031,"61,801","30,447","10,799","14,689",59,"2,612",,,,,,,,,,
ZCTA5 10032,"60,529","21,482","9,178","8,077",48,"2,646",,,,,,,,,,
ZCTA5 10033,"60,739","20,297","15,113","2,273",59,"1,718",,,,,,,,,,
ZCTA5 10034,"43,365","12,597","7,960","2,273",50,"1,154",,,,,,,,,,
ZCTA5 10035,"37,042","20,749","4,857","13,482",11,"1,375",,,,,,,,,,
ZCTA5 10036,"30,437","24,436","15,472","2,007",55,"5,116",,,,,,,,,,
ZCTA5 10037,"19,374","15,727","1,601","12,840",19,698,,,,,,,,,,
ZCTA5 10038,"23,356","21,091","10,742","2,266",55,"6,570",,,,,,,,,,
ZCTA5 10039,"27,234","18,122","2,434","14,200",51,627,,,,,,,,,,
ZCTA5 10040,"45,771","13,373","9,510","1,484",51,"1,024",,,,,,,,,,
ZCTA5 10044,"12,155","10,858","4,832","1,492",0,"3,987",,,,,,,,,,
ZCTA5 10065,"31,270","28,696","23,043",606,0,"4,304",,,,,,,,,,
ZCTA5 10069,"5,774","5,519","2,723",84,0,"1,866",,,,,,,,,,
ZCTA5 10075,"23,391","21,518","18,613",423,94,"1,659",,,,,,,,,,
ZCTA5 10103,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10110,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10111,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10112,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10115,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10119,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10128,"58,147","50,604","39,664","2,875",20,"5,694",,,,,,,,,,
ZCTA5 10152,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10153,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10154,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10162,"2,268","1,854","1,789",0,0,65,,,,,,,,,,
ZCTA5 10165,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10167,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10168,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10169,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10170,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10171,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10172,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10173,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10174,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10177,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10199,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10271,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10278,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10279,131,131,131,0,0,0,,,,,,,,,,
ZCTA5 10280,"8,582","7,492","5,373",138,0,"1,777",,,,,,,,,,
ZCTA5 10282,"6,419","6,142","4,526",124,0,993,,,,,,,,,,
ZCTA5 10301,"38,736","28,638","17,542","6,829",129,"2,849",,,,,,,,,,
ZCTA5 10302,"18,144","10,949","5,210","4,246",0,"1,051",,,,,,,,,,
ZCTA5 10303,"27,469","16,751","4,335","8,543",25,"2,678",,,,,,,,,,
ZCTA5 10304,"43,849","33,952","17,393","11,066",76,"4,851",,,,,,,,,,
ZCTA5 10305,"44,531","38,004","25,555","2,711",24,"8,648",,,,,,,,,,
ZCTA5 10306,"55,805","46,903","37,359","2,016",29,"5,691",,,,,,,,,,
ZCTA5 10307,"14,828","13,102","12,560",21,0,473,,,,,,,,,,
ZCTA5 10308,"30,353","26,895","24,793",414,0,"1,171",,,,,,,,,,
ZCTA5 10309,"35,832","33,019","30,927",139,147,"1,088",,,,,,,,,,
ZCTA5 10310,"25,976","18,405","11,328","4,871",21,"1,410",,,,,,,,,,
ZCTA5 10311,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10312,"63,935","56,081","50,218",493,54,"4,500",,,,,,,,,,
ZCTA5 10314,"93,736","79,538","56,918","3,500",167,"16,691",,,,,,,,,,
ZCTA5 10451,"50,118","22,003","2,081","18,495",101,611,,,,,,,,,,
ZCTA5 10452,"79,838","25,777","1,640","21,221",72,957,,,,,,,,,,
ZCTA5 10453,"80,393","24,877","1,666","19,610",52,"1,577",,,,,,,,,,
ZCTA5 10454,"38,908","11,774","1,327","9,988",44,40,,,,,,,,,,
ZCTA5 10455,"42,781","11,565",855,"9,769",6,345,,,,,,,,,,
ZCTA5 10456,"90,314","38,112","1,491","34,061",188,590,,,,,,,,,,
ZCTA5 10457,"79,443","27,714","1,412","24,321",56,468,,,,,,,,,,
ZCTA5 10458,"86,757","24,259","6,050","13,775",283,"2,894",,,,,,,,,,
ZCTA5 10459,"51,303","16,704",820,"15,117",128,135,,,,,,,,,,
ZCTA5 10460,"59,979","20,040","1,979","15,566",136,729,,,,,,,,,,
ZCTA5 10461,"52,756","26,284","15,588","3,961",80,"5,759",,,,,,,,,,
ZCTA5 10462,"78,470","40,867","8,534","17,499",390,"11,577",,,,,,,,,,
ZCTA5 10463,"73,256","35,529","21,529","8,721",226,"2,676",,,,,,,,,,
ZCTA5 10464,"4,417","3,230","3,033",31,0,87,,,,,,,,,,
ZCTA5 10465,"46,205","25,275","17,951","3,697",0,"2,062",,,,,,,,,,
ZCTA5 10466,"75,767","55,586","1,735","48,251",181,"1,857",,,,,,,,,,
ZCTA5 10467,"102,209","48,831","9,410","29,546",729,"6,373",,,,,,,,,,
ZCTA5 10468,"82,480","17,070","2,136","11,423",268,"2,151",,,,,,,,,,
ZCTA5 10469,"75,290","54,002","7,078","40,163",62,"4,096",,,,,,,,,,
ZCTA5 10470,"16,446","13,073","6,267","5,515",0,559,,,,,,,,,,
ZCTA5 10471,"23,387","17,008","13,065","2,169",0,895,,,,,,,,,,
ZCTA5 10472,"66,720","26,392","1,716","16,263",116,"5,657",,,,,,,,,,
ZCTA5 10473,"60,296","22,260","1,437","18,545",236,893,,,,,,,,,,
ZCTA5 10474,"11,312","3,600",252,"3,187",60,25,,,,,,,,,,
ZCTA5 10475,"44,509","30,623","2,301","26,003",0,"1,000",,,,,,,,,,
ZCTA5 10501,"1,452","1,350","1,342",8,0,0,,,,,,,,,,
ZCTA5 10502,"5,853","5,482","4,082",195,12,672,,,,,,,,,,
ZCTA5 10503,71,71,57,0,0,14,,,,,,,,,,
ZCTA5 10504,"8,363","7,596","6,759",93,0,363,,,,,,,,,,
ZCTA5 10505,"1,249","1,062",791,9,0,180,,,,,,,,,,
ZCTA5 10506,"5,980","5,495","5,237",87,0,126,,,,,,,,,,
ZCTA5 10507,"6,706","4,713","3,255",486,12,749,,,,,,,,,,
ZCTA5 10509,"20,265","14,861","13,289",373,0,629,,,,,,,,,,
ZCTA5 10510,"10,592","9,366","8,196",81,0,520,,,,,,,,,,
ZCTA5 10511,"2,245","1,867","1,556",139,5,108,,,,,,,,,,
ZCTA5 10512,"24,340","20,197","17,947",870,104,454,,,,,,,,,,
ZCTA5 10514,"13,267","12,962","10,534",726,0,"1,202",,,,,,,,,,
ZCTA5 10516,"5,639","5,268","4,919",191,3,66,,,,,,,,,,
ZCTA5 10517,485,385,345,8,0,32,,,,,,,,,,
ZCTA5 10518,938,798,731,0,0,67,,,,,,,,,,
ZCTA5 10519,157,157,0,0,0,157,,,,,,,,,,
ZCTA5 10520,"13,071","11,348","10,031",572,2,449,,,,,,,,,,
ZCTA5 10522,"11,622","10,108","7,998",443,0,"1,117",,,,,,,,,,
ZCTA5 10523,"9,717","6,483","3,063","2,206",0,826,,,,,,,,,,
ZCTA5 10524,"4,251","3,949","3,643",90,0,70,,,,,,,,,,
ZCTA5 10526,"1,813","1,672","1,451",2,0,150,,,,,,,,,,
ZCTA5 10527,594,489,476,13,0,0,,,,,,,,,,
ZCTA5 10528,"13,546","12,271","10,171",501,0,"1,367",,,,,,,,,,
ZCTA5 10530,"13,807","12,173","9,437","1,051",0,"1,223",,,,,,,,,,
ZCTA5 10532,"5,103","4,758","4,352",107,0,253,,,,,,,,,,
ZCTA5 10533,"7,608","7,228","6,204",50,0,701,,,,,,,,,,
ZCTA5 10535,339,194,194,0,0,0,,,,,,,,,,
ZCTA5 10536,"11,124","10,201","9,282",191,47,397,,,,,,,,,,
ZCTA5 10537,"2,572","2,373","1,677",358,0,338,,,,,,,,,,
ZCTA5 10538,"17,424","15,802","13,671",598,0,925,,,,,,,,,,
ZCTA5 10540,206,144,81,48,0,0,,,,,,,,,,
ZCTA5 10541,"26,317","23,125","22,452",168,0,260,,,,,,,,,,
ZCTA5 10542,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10543,"21,563","16,217","13,736",647,99,"1,036",,,,,,,,,,
ZCTA5 10545,149,127,105,5,0,9,,,,,,,,,,
ZCTA5 10546,"1,068",983,789,1,11,169,,,,,,,,,,
ZCTA5 10547,"7,400","6,336","5,005",956,0,255,,,,,,,,,,
ZCTA5 10548,"4,078","3,366","3,027",221,0,25,,,,,,,,,,
ZCTA5 10549,"15,587","11,293","9,759",760,0,505,,,,,,,,,,
ZCTA5 10550,"39,360","32,265","2,904","26,776",310,741,,,,,,,,,,
ZCTA5 10552,"23,067","18,888","8,327","8,180",10,893,,,,,,,,,,
ZCTA5 10553,"10,259","8,929","1,172","7,452",0,25,,,,,,,,,,
ZCTA5 10560,"5,001","4,676","4,333",152,0,95,,,,,,,,,,
ZCTA5 10562,"33,850","21,374","15,227","3,227",0,"1,812",,,,,,,,,,
ZCTA5 10566,"25,304","14,673","8,670","5,160",18,477,,,,,,,,,,
ZCTA5 10567,"20,901","16,586","13,759","1,389",13,617,,,,,,,,,,
ZCTA5 10570,"12,821","11,440","9,677",783,0,647,,,,,,,,,,
ZCTA5 10573,"41,181","19,997","16,240","1,725",33,"1,190",,,,,,,,,,
ZCTA5 10576,"4,959","4,650","4,223",200,0,124,,,,,,,,,,
ZCTA5 10577,"6,059","5,169","3,913",638,0,391,,,,,,,,,,
ZCTA5 10578,"1,502",617,480,0,0,137,,,,,,,,,,
ZCTA5 10579,"8,279","7,128","6,646",152,0,144,,,,,,,,,,
ZCTA5 10580,"17,901","16,509","13,823",356,114,"1,163",,,,,,,,,,
ZCTA5 10583,"41,532","38,278","28,337",904,24,"7,412",,,,,,,,,,
ZCTA5 10588,"3,184","2,421","2,063",80,0,278,,,,,,,,,,
ZCTA5 10589,"7,042","6,686","6,430",30,0,149,,,,,,,,,,
ZCTA5 10590,"7,132","6,718","6,198",106,17,239,,,,,,,,,,
ZCTA5 10591,"23,392","15,485","12,326",879,0,"1,555",,,,,,,,,,
ZCTA5 10594,"5,309","4,766","4,446",21,0,187,,,,,,,,,,
ZCTA5 10595,"8,019","6,830","5,208",956,11,382,,,,,,,,,,
ZCTA5 10596,951,840,698,57,0,0,,,,,,,,,,
ZCTA5 10597,755,686,651,0,0,10,,,,,,,,,,
ZCTA5 10598,"29,195","26,171","22,170","1,744",5,"1,333",,,,,,,,,,
ZCTA5 10601,"10,929","8,028","5,045","1,578",0,"1,219",,,,,,,,,,
ZCTA5 10603,"19,443","13,155","6,766","4,667",12,"1,383",,,,,,,,,,
ZCTA5 10604,"11,740","8,476","6,958",646,0,207,,,,,,,,,,
ZCTA5 10605,"20,481","16,593","12,663","1,822",0,"1,312",,,,,,,,,,
ZCTA5 10606,"15,795","9,428","5,386","2,414",0,"1,313",,,,,,,,,,
ZCTA5 10607,"6,642","4,632","2,214","1,425",0,814,,,,,,,,,,
ZCTA5 10701,"66,002","34,788","15,698","14,406",266,"2,330",,,,,,,,,,
ZCTA5 10703,"23,355","14,461","8,096","5,052",8,780,,,,,,,,,,
ZCTA5 10704,"32,767","23,564","17,888","1,803",34,"2,522",,,,,,,,,,
ZCTA5 10705,"39,846","16,694","7,885","5,596",0,"2,119",,,,,,,,,,
ZCTA5 10706,"9,050","8,308","7,190",94,0,719,,,,,,,,,,
ZCTA5 10707,"10,239","8,344","6,886",404,0,859,,,,,,,,,,
ZCTA5 10708,"23,014","19,565","16,421","1,367",0,"1,011",,,,,,,,,,
ZCTA5 10709,"10,222","9,539","8,387",140,6,875,,,,,,,,,,
ZCTA5 10710,"26,319","19,115","10,818","4,219",397,"3,091",,,,,,,,,,
ZCTA5 10801,"41,205","26,612","12,846","10,389",0,"2,545",,,,,,,,,,
ZCTA5 10803,"12,953","11,329","9,067",757,0,899,,,,,,,,,,
ZCTA5 10804,"15,127","13,466","10,789","1,535",0,734,,,,,,,,,,
ZCTA5 10805,"21,260","13,453","8,540","3,391",11,"1,288",,,,,,,,,,
ZCTA5 10901,"25,214","22,055","18,184","2,037",19,"1,179",,,,,,,,,,
ZCTA5 10910,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10911,12,12,6,6,0,0,,,,,,,,,,
ZCTA5 10913,"5,370","4,943","4,094",74,0,475,,,,,,,,,,
ZCTA5 10914,452,452,378,0,0,0,,,,,,,,,,
ZCTA5 10915,68,68,68,0,0,0,,,,,,,,,,
ZCTA5 10916,"4,384","3,600","3,193",38,0,114,,,,,,,,,,
ZCTA5 10917,"1,534","1,323",990,60,0,238,,,,,,,,,,
ZCTA5 10918,"12,753","10,527","9,025",640,4,287,,,,,,,,,,
ZCTA5 10919,"1,226",517,475,21,0,11,,,,,,,,,,
ZCTA5 10920,"8,776","7,428","6,076",176,23,938,,,,,,,,,,
ZCTA5 10921,"3,992","3,255","2,699",196,138,88,,,,,,,,,,
ZCTA5 10922,901,756,651,77,0,28,,,,,,,,,,
ZCTA5 10923,"8,477","4,655","2,925",986,0,591,,,,,,,,,,
ZCTA5 10924,"13,859","11,056","9,786",552,12,569,,,,,,,,,,
ZCTA5 10925,"4,157","3,619","3,414",47,0,158,,,,,,,,,,
ZCTA5 10926,"3,902","2,984","1,772",700,0,422,,,,,,,,,,
ZCTA5 10927,"12,598","4,288","2,738",903,0,454,,,,,,,,,,
ZCTA5 10928,"4,900","3,925","2,508",858,0,365,,,,,,,,,,
ZCTA5 10930,"10,536","8,112","6,360",940,0,473,,,,,,,,,,
ZCTA5 10931,"1,110",767,430,161,45,67,,,,,,,,,,
ZCTA5 10932,27,27,27,0,0,0,,,,,,,,,,
ZCTA5 10933,279,255,255,0,0,0,,,,,,,,,,
ZCTA5 10940,"50,932","35,336","21,837","8,938",39,"2,123",,,,,,,,,,
ZCTA5 10941,"14,415","11,474","6,931","2,887",48,893,,,,,,,,,,
ZCTA5 10950,"61,452","53,921","50,659","1,645",24,513,,,,,,,,,,
ZCTA5 10952,"46,448","44,924","40,775","2,937",0,591,,,,,,,,,,
ZCTA5 10953,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10954,"26,391","22,709","15,277","2,808",13,"3,585",,,,,,,,,,
ZCTA5 10956,"30,664","25,662","19,237","2,516",37,"3,189",,,,,,,,,,
ZCTA5 10958,"3,286","2,584","1,968",507,0,16,,,,,,,,,,
ZCTA5 10960,"15,145","12,325","8,400","2,685",0,699,,,,,,,,,,
ZCTA5 10962,"5,345","4,744","3,201",375,0,"1,046",,,,,,,,,,
ZCTA5 10963,"4,652","3,828","2,746",696,0,221,,,,,,,,,,
ZCTA5 10964,"1,419","1,213",980,23,0,210,,,,,,,,,,
ZCTA5 10965,"15,527","13,293","12,318",128,9,613,,,,,,,,,,
ZCTA5 10968,"2,525","2,250","1,774",159,0,191,,,,,,,,,,
ZCTA5 10969,"1,061",995,953,0,0,42,,,,,,,,,,
ZCTA5 10970,"11,449","8,438","5,136","2,134",1,982,,,,,,,,,,
ZCTA5 10973,"2,432","2,145","1,870",107,0,57,,,,,,,,,,
ZCTA5 10974,"3,181","2,786","2,306",196,0,132,,,,,,,,,,
ZCTA5 10975,62,35,35,0,0,0,,,,,,,,,,
ZCTA5 10976,"2,051","1,846","1,414",104,12,226,,,,,,,,,,
ZCTA5 10977,"70,743","56,150","38,283","14,344",21,"1,773",,,,,,,,,,
ZCTA5 10979,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10980,"13,579","10,989","9,008","1,425",19,354,,,,,,,,,,
ZCTA5 10983,"5,839","5,296","4,602",103,0,516,,,,,,,,,,
ZCTA5 10984,"2,620","2,007","1,768",117,0,86,,,,,,,,,,
ZCTA5 10985,207,180,180,0,0,0,,,,,,,,,,
ZCTA5 10986,"1,736","1,391","1,337",0,0,45,,,,,,,,,,
ZCTA5 10987,"3,753","3,313","2,684",341,0,57,,,,,,,,,,
ZCTA5 10988,722,650,588,34,0,0,,,,,,,,,,
ZCTA5 10989,"8,339","7,330","5,616",661,0,896,,,,,,,,,,
ZCTA5 10990,"21,024","19,659","18,275",712,24,245,,,,,,,,,,
ZCTA5 10992,"9,591","7,138","6,027",710,16,131,,,,,,,,,,
ZCTA5 10993,"5,019","2,545","1,224",858,33,201,,,,,,,,,,
ZCTA5 10994,"6,937","5,686","4,429",489,0,702,,,,,,,,,,
ZCTA5 10996,"6,386","5,617","4,427",325,11,272,,,,,,,,,,
ZCTA5 10998,"3,602","3,151","2,911",132,0,13,,,,,,,,,,
ZCTA5 11001,"26,818","23,078","14,593","1,408",133,"6,322",,,,,,,,,,
ZCTA5 11003,"46,200","36,808","6,688","19,759",14,"7,417",,,,,,,,,,
ZCTA5 11004,"16,426","14,592","4,179","1,067",82,"8,269",,,,,,,,,,
ZCTA5 11005,"2,075","2,070","1,998",0,0,72,,,,,,,,,,
ZCTA5 11010,"25,637","21,256","17,226",795,98,"2,404",,,,,,,,,,
ZCTA5 11020,"6,097","5,865","2,395","1,055",4,"2,272",,,,,,,,,,
ZCTA5 11021,"19,265","17,841","12,036",252,120,"5,033",,,,,,,,,,
ZCTA5 11023,"10,169","9,952","8,242",18,0,"1,302",,,,,,,,,,
ZCTA5 11024,"8,394","7,212","6,731",67,0,304,,,,,,,,,,
ZCTA5 11030,"17,589","16,497","12,566",149,0,"3,216",,,,,,,,,,
ZCTA5 11040,"42,634","37,490","17,084",294,164,"18,015",,,,,,,,,,
ZCTA5 11042,443,412,265,127,0,20,,,,,,,,,,
ZCTA5 11050,"31,586","27,115","22,705",467,59,"3,386",,,,,,,,,,
ZCTA5 11096,"9,084","4,556","2,552","1,619",0,332,,,,,,,,,,
ZCTA5 11101,"33,789","26,751","11,829","3,877",0,"9,385",,,,,,,,,,
ZCTA5 11102,"27,876","20,678","13,441","1,734",210,"4,154",,,,,,,,,,
ZCTA5 11103,"35,912","26,858","19,570",875,0,"5,071",,,,,,,,,,
ZCTA5 11104,"27,575","20,172","11,459",456,23,"7,027",,,,,,,,,,
ZCTA5 11105,"38,311","30,049","23,967",978,40,"3,327",,,,,,,,,,
ZCTA5 11106,"40,472","29,545","17,451","2,435",107,"7,340",,,,,,,,,,
ZCTA5 11109,"6,712","6,318","3,561",38,0,"2,334",,,,,,,,,,
ZCTA5 11201,"68,777","60,645","39,117","8,485",78,"9,458",,,,,,,,,,
ZCTA5 11203,"79,499","74,180","3,084","65,890",90,"1,456",,,,,,,,,,
ZCTA5 11204,"82,140","71,515","42,934",613,566,"24,770",,,,,,,,,,
ZCTA5 11205,"50,681","42,574","25,013","12,102",207,"3,114",,,,,,,,,,
ZCTA5 11206,"90,903","58,039","33,531","16,639",42,"5,456",,,,,,,,,,
ZCTA5 11207,"97,690","64,038","4,976","53,948",67,"1,503",,,,,,,,,,
ZCTA5 11208,"107,724","64,016","3,123","49,689",57,"7,481",,,,,,,,,,
