ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,,,,,,,,,,
ZCTA5 11209,"72,938","59,489","44,590","2,677",83,"9,881",,,,,,,,,,
ZCTA5 11210,"65,854","61,170","20,668","34,127",0,"3,169",,,,,,,,,,
ZCTA5 11211,"65,925","48,492","39,720","2,459",69,"3,927",,,,,,,,,,
ZCTA5 11212,"78,296","64,976","2,482","57,409",49,828,,,,,,,,,,
ZCTA5 11213,"69,392","61,126","14,650","42,903",0,"1,214",,,,,,,,,,
ZCTA5 11214,"95,361","78,882","38,739","1,564",49,"34,806",,,,,,,,,,
ZCTA5 11215,"73,419","61,451","48,592","2,326",40,"6,532",,,,,,,,,,
ZCTA5 11216,"62,210","54,249","18,869","28,924",21,"2,784",,,,,,,,,,
ZCTA5 11217,"42,107","36,059","21,746","7,515",43,"3,644",,,,,,,,,,
ZCTA5 11218,"76,370","63,926","39,986","5,788",35,"14,713",,,,,,,,,,
ZCTA5 11219,"93,119","81,580","56,362","1,174",106,"21,855",,,,,,,,,,
ZCTA5 11220,"93,584","56,772","14,539","1,705",219,"39,198",,,,,,,,,,
ZCTA5 11221,"89,728","60,682","17,907","35,470",36,"3,953",,,,,,,,,,
ZCTA5 11222,"39,669","33,976","28,802","1,181",22,"1,569",,,,,,,,,,
ZCTA5 11223,"83,565","72,343","42,942","4,273",119,"21,580",,,,,,,,,,
ZCTA5 11224,"48,110","38,432","23,929","9,004",137,"4,125",,,,,,,,,,
ZCTA5 11225,"59,465","53,319","17,166","32,510",17,"1,618",,,,,,,,,,
ZCTA5 11226,"99,776","84,998","13,641","63,800",206,"2,883",,,,,,,,,,
ZCTA5 11228,"45,267","39,615","23,152",440,31,"15,237",,,,,,,,,,
ZCTA5 11229,"85,538","77,704","50,725","4,632",72,"19,812",,,,,,,,,,
ZCTA5 11230,"91,789","81,752","57,258","6,847",0,"13,971",,,,,,,,,,
ZCTA5 11231,"40,311","33,874","24,312","4,577",64,"1,960",,,,,,,,,,
ZCTA5 11232,"28,501","14,183","6,499","1,942",19,"4,604",,,,,,,,,,
ZCTA5 11233,"85,633","71,976","9,793","57,952",294,"1,154",,,,,,,,,,
ZCTA5 11234,"94,254","85,684","32,593","41,612",224,"7,528",,,,,,,,,,
ZCTA5 11235,"84,859","77,207","60,353","1,706",0,"10,849",,,,,,,,,,
ZCTA5 11236,"102,238","93,476","4,016","82,918",117,"2,384",,,,,,,,,,
ZCTA5 11237,"50,590","20,892","11,711","3,564",189,"3,269",,,,,,,,,,
ZCTA5 11238,"58,597","51,977","28,330","16,436",0,"3,633",,,,,,,,,,
ZCTA5 11239,"15,917","13,438","2,460","9,950",0,438,,,,,,,,,,
ZCTA5 11249,"42,421","33,983","27,951","1,830",0,"2,260",,,,,,,,,,
ZCTA5 11354,"53,375","45,901","8,846","1,719",68,"34,128",,,,,,,,,,
ZCTA5 11355,"80,918","68,816","6,046","1,659",321,"59,568",,,,,,,,,,
ZCTA5 11356,"27,295","15,531","6,470",337,0,"8,449",,,,,,,,,,
ZCTA5 11357,"44,030","37,360","25,467",194,36,"10,805",,,,,,,,,,
ZCTA5 11358,"38,103","30,939","11,937",265,213,"17,414",,,,,,,,,,
ZCTA5 11359,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11360,"20,076","17,916","11,253",224,0,"5,955",,,,,,,,,,
ZCTA5 11361,"30,006","25,648","11,899","1,372",48,"11,797",,,,,,,,,,
ZCTA5 11362,"19,217","17,370","7,477",463,0,"9,143",,,,,,,,,,
ZCTA5 11363,"7,424","6,616","3,668",62,87,"2,569",,,,,,,,,,
ZCTA5 11364,"39,015","32,699","12,023",743,292,"18,715",,,,,,,,,,
ZCTA5 11365,"45,439","36,162","11,143","4,292",63,"19,534",,,,,,,,,,
ZCTA5 11366,"13,922","12,275","4,697",843,0,"6,162",,,,,,,,,,
ZCTA5 11367,"42,362","35,205","19,117","2,713",75,"11,983",,,,,,,,,,
ZCTA5 11368,"116,469","28,390","5,670","7,947",67,"13,502",,,,,,,,,,
ZCTA5 11369,"31,550","13,891","2,893","5,216",43,"5,055",,,,,,,,,,
ZCTA5 11370,"29,780","18,476","7,573","3,816",93,"6,602",,,,,,,,,,
ZCTA5 11371,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11372,"67,252","31,253","12,518","1,925",0,"14,431",,,,,,,,,,
ZCTA5 11373,"102,104","58,620","5,183","1,352",354,"49,629",,,,,,,,,,
ZCTA5 11374,"47,019","37,609","18,516","1,937",0,"14,511",,,,,,,,,,
ZCTA5 11375,"76,091","65,089","37,879","1,999",8,"21,693",,,,,,,,,,
ZCTA5 11377,"85,255","52,174","17,408","1,304",53,"31,345",,,,,,,,,,
ZCTA5 11378,"39,994","25,910","19,711",353,24,"4,896",,,,,,,,,,
ZCTA5 11379,"39,805","31,579","25,687",206,42,"4,513",,,,,,,,,,
ZCTA5 11385,"109,111","58,314","46,484","2,147",30,"7,507",,,,,,,,,,
ZCTA5 11411,"21,605","20,158",526,"19,055",0,54,,,,,,,,,,
ZCTA5 11412,"41,782","39,146",498,"34,884",254,"1,351",,,,,,,,,,
ZCTA5 11413,"45,661","42,556",544,"39,645",69,712,,,,,,,,,,
ZCTA5 11414,"30,915","23,213","19,924","1,119",0,"1,583",,,,,,,,,,
ZCTA5 11415,"20,351","15,530","9,287","1,199",149,"4,069",,,,,,,,,,
ZCTA5 11416,"27,098","14,680","3,423","1,021",0,"9,002",,,,,,,,,,
ZCTA5 11417,"33,236","20,944","5,680","2,298",21,"9,853",,,,,,,,,,
ZCTA5 11418,"38,938","23,266","6,992","3,135",313,"9,492",,,,,,,,,,
ZCTA5 11419,"50,107","40,335","1,952","6,464",308,"17,717",,,,,,,,,,
ZCTA5 11420,"51,831","39,954","2,375","12,102",727,"17,302",,,,,,,,,,
ZCTA5 11421,"42,704","17,268","6,030","1,846",0,"7,604",,,,,,,,,,
ZCTA5 11422,"34,063","30,790","1,862","26,547",95,"1,290",,,,,,,,,,
ZCTA5 11423,"30,983","25,969","3,540","10,560",95,"8,809",,,,,,,,,,
ZCTA5 11424,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11426,"20,959","16,748","5,193","1,400",10,"9,067",,,,,,,,,,
ZCTA5 11427,"25,890","20,572","3,982","5,556",20,"8,742",,,,,,,,,,
ZCTA5 11428,"21,184","15,396","1,987","3,918",23,"6,187",,,,,,,,,,
ZCTA5 11429,"28,643","24,504",658,"19,137",204,"1,555",,,,,,,,,,
ZCTA5 11430,222,161,15,138,0,8,,,,,,,,,,
ZCTA5 11432,"64,858","50,900","7,753","10,363",526,"28,258",,,,,,,,,,
ZCTA5 11433,"41,396","35,637","1,129","23,552",667,"6,777",,,,,,,,,,
ZCTA5 11434,"66,424","59,371","1,324","52,264",131,"2,157",,,,,,,,,,
ZCTA5 11435,"60,842","41,923","7,922","14,727",215,"13,018",,,,,,,,,,
ZCTA5 11436,"21,248","18,366",278,"12,674",117,"1,666",,,,,,,,,,
ZCTA5 11439,"2,154","1,709",907,393,8,205,,,,,,,,,,
ZCTA5 11451,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11501,"21,353","18,363","13,871",292,12,"2,985",,,,,,,,,,
ZCTA5 11507,"6,826","6,451","3,514",21,14,"2,653",,,,,,,,,,
ZCTA5 11509,"1,691","1,630","1,538",4,9,27,,,,,,,,,,
ZCTA5 11510,"34,713","27,957","12,383","12,525",0,"1,159",,,,,,,,,,
ZCTA5 11514,"4,725","4,233","3,419",84,0,534,,,,,,,,,,
ZCTA5 11516,"8,244","7,178","6,924",145,0,75,,,,,,,,,,
ZCTA5 11518,"10,248","8,939","7,514",829,0,399,,,,,,,,,,
ZCTA5 11520,"44,788","26,167","10,492","13,274",29,832,,,,,,,,,,
ZCTA5 11530,"28,550","26,543","23,703",246,0,"1,742",,,,,,,,,,
ZCTA5 11542,"29,384","20,478","16,307","1,614",78,"1,298",,,,,,,,,,
ZCTA5 11545,"11,841","10,480","9,214",52,26,909,,,,,,,,,,
ZCTA5 11547,488,488,361,0,0,127,,,,,,,,,,
ZCTA5 11548,"2,068","1,903","1,255",119,0,459,,,,,,,,,,
ZCTA5 11549,"2,692","2,366","1,646",284,0,231,,,,,,,,,,
ZCTA5 11550,"60,673","33,752","3,901","27,582",84,"1,042",,,,,,,,,,
ZCTA5 11552,"26,207","19,949","12,820","5,306",36,"1,261",,,,,,,,,,
ZCTA5 11553,"27,150","14,644","2,680","10,997",0,316,,,,,,,,,,
ZCTA5 11554,"38,078","33,370","23,978","1,800",5,"6,655",,,,,,,,,,
ZCTA5 11556,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11557,"8,234","7,339","5,939",465,0,738,,,,,,,,,,
ZCTA5 11558,"8,758","6,339","5,765",133,0,194,,,,,,,,,,
ZCTA5 11559,"8,427","7,641","7,356",17,0,215,,,,,,,,,,
ZCTA5 11560,"7,025","6,123","5,773",60,0,185,,,,,,,,,,
ZCTA5 11561,"39,140","34,022","29,502","1,905",54,"1,610",,,,,,,,,,
ZCTA5 11563,"22,152","17,483","14,694",824,0,"1,605",,,,,,,,,,
ZCTA5 11565,"9,077","8,033","6,847",371,10,304,,,,,,,,,,
ZCTA5 11566,"34,393","31,533","29,112",872,35,893,,,,,,,,,,
ZCTA5 11568,"4,428","4,096","2,900",293,0,594,,,,,,,,,,
ZCTA5 11569,"1,168","1,107","1,102",0,0,0,,,,,,,,,,
ZCTA5 11570,"28,462","25,409","21,254","1,942",0,"1,435",,,,,,,,,,
ZCTA5 11572,"29,791","25,195","23,274",388,142,"1,052",,,,,,,,,,
ZCTA5 11575,"18,143","10,230",340,"8,999",5,355,,,,,,,,,,
ZCTA5 11576,"12,828","12,038","9,175",105,0,"2,232",,,,,,,,,,
ZCTA5 11577,"12,125","11,083","8,479",281,4,"2,096",,,,,,,,,,
ZCTA5 11579,"5,084","4,698","4,453",60,0,64,,,,,,,,,,
ZCTA5 11580,"43,414","32,996","10,098","13,693",15,"6,130",,,,,,,,,,
ZCTA5 11581,"22,919","18,709","9,642","4,137",1,"3,213",,,,,,,,,,
ZCTA5 11590,"48,436","32,013","16,671","9,064",17,"4,596",,,,,,,,,,
ZCTA5 11596,"10,431","9,356","7,161",118,8,"1,872",,,,,,,,,,
ZCTA5 11598,"14,058","13,314","12,121",512,0,289,,,,,,,,,,
ZCTA5 11691,"70,797","53,397","17,752","29,828",0,"2,946",,,,,,,,,,
ZCTA5 11692,"24,639","18,555","3,263","12,880",0,"1,407",,,,,,,,,,
ZCTA5 11693,"14,147","9,939","6,036","2,776",39,415,,,,,,,,,,
ZCTA5 11694,"22,432","18,680","16,507","1,254",0,520,,,,,,,,,,
ZCTA5 11697,"3,782","3,574","3,505",9,0,20,,,,,,,,,,
ZCTA5 11701,"27,831","21,277","10,542","9,683",122,164,,,,,,,,,,
ZCTA5 11702,"14,121","13,177","12,638",61,1,160,,,,,,,,,,
ZCTA5 11703,"17,754","14,382","11,110","1,960",22,585,,,,,,,,,,
ZCTA5 11704,"40,344","33,875","26,809","5,119",73,988,,,,,,,,,,
ZCTA5 11705,"8,241","7,579","7,049",197,13,123,,,,,,,,,,
ZCTA5 11706,"66,668","38,834","25,440","7,367",33,"4,055",,,,,,,,,,
ZCTA5 11709,"6,780","6,442","6,255",23,0,13,,,,,,,,,,
ZCTA5 11710,"36,171","32,162","28,663",857,0,"1,526",,,,,,,,,,
ZCTA5 11713,"9,128","6,896","4,961","1,614",0,149,,,,,,,,,,
ZCTA5 11714,"23,262","20,264","16,749",48,97,"2,786",,,,,,,,,,
ZCTA5 11715,"4,092","3,932","3,873",0,0,27,,,,,,,,,,
ZCTA5 11716,"9,919","8,946","8,321",189,0,371,,,,,,,,,,
ZCTA5 11717,"65,992","17,487","6,831","7,976",39,"1,209",,,,,,,,,,
ZCTA5 11718,"3,169","2,991","2,696",109,0,13,,,,,,,,,,
ZCTA5 11719,"3,508","3,102","2,790",222,13,13,,,,,,,,,,
ZCTA5 11720,"29,213","24,861","20,491","1,357",14,"2,207",,,,,,,,,,
ZCTA5 11721,"6,409","6,070","5,418",117,0,243,,,,,,,,,,
ZCTA5 11722,"36,756","15,601","6,374","7,688",2,736,,,,,,,,,,
ZCTA5 11724,"2,916","2,758","2,389",0,0,106,,,,,,,,,,
ZCTA5 11725,"28,896","26,678","24,423",378,0,"1,458",,,,,,,,,,
ZCTA5 11726,"21,674","12,316","7,392","3,193",269,372,,,,,,,,,,
ZCTA5 11727,"29,374","23,975","17,352","3,382",0,"1,730",,,,,,,,,,
ZCTA5 11729,"26,306","21,922","15,347","2,631",6,"2,871",,,,,,,,,,
ZCTA5 11730,"13,099","11,581","10,938",398,0,203,,,,,,,,,,
ZCTA5 11731,"31,115","28,943","26,381",513,0,"1,383",,,,,,,,,,
ZCTA5 11732,"3,705","3,471","3,095",154,0,59,,,,,,,,,,
ZCTA5 11733,"17,177","15,998","13,532",275,8,"1,544",,,,,,,,,,
ZCTA5 11735,"33,123","28,833","24,292","1,313",14,"2,336",,,,,,,,,,
ZCTA5 11738,"19,401","16,083","13,489","1,016",59,839,,,,,,,,,,
ZCTA5 11739,"1,685","1,552","1,533",0,0,1,,,,,,,,,,
ZCTA5 11740,"10,469","9,707","8,095",851,0,468,,,,,,,,,,
ZCTA5 11741,"27,172","23,243","20,606","1,134",45,"1,056",,,,,,,,,,
ZCTA5 11742,"12,946","11,429","9,953",915,0,462,,,,,,,,,,
ZCTA5 11743,"42,406","38,031","32,790","2,177",10,"1,483",,,,,,,,,,
ZCTA5 11746,"67,873","54,517","42,621","3,344",503,"5,677",,,,,,,,,,
ZCTA5 11747,"19,232","18,339","16,590",400,0,959,,,,,,,,,,
ZCTA5 11749,"3,541","2,154","1,242",211,31,385,,,,,,,,,,
ZCTA5 11751,"13,746","11,964","11,047",245,0,448,,,,,,,,,,
ZCTA5 11752,"9,146","7,786","7,033",96,48,319,,,,,,,,,,
ZCTA5 11753,"13,361","13,007","6,621",191,0,"5,728",,,,,,,,,,
ZCTA5 11754,"17,884","16,701","15,689",110,0,654,,,,,,,,,,
ZCTA5 11755,"12,352","10,708","9,210",239,0,"1,060",,,,,,,,,,
ZCTA5 11756,"43,571","36,229","30,751",648,0,"3,780",,,,,,,,,,
ZCTA5 11757,"45,091","36,064","32,360","1,789",11,"1,081",,,,,,,,,,
ZCTA5 11758,"54,135","49,368","45,565","2,683",0,501,,,,,,,,,,
ZCTA5 11762,"22,704","21,491","20,176",113,0,532,,,,,,,,,,
ZCTA5 11763,"29,808","21,539","16,988","3,268",0,495,,,,,,,,,,
ZCTA5 11764,"13,157","11,501","10,868",41,0,295,,,,,,,,,,
ZCTA5 11765,783,642,528,0,0,111,,,,,,,,,,
ZCTA5 11766,"11,271","10,315","9,799",112,0,371,,,,,,,,,,
ZCTA5 11767,"14,190","12,472","11,288",259,0,726,,,,,,,,,,
ZCTA5 11768,"21,139","19,704","19,144",62,0,331,,,,,,,,,,
ZCTA5 11769,"8,855","8,452","7,792",469,23,49,,,,,,,,,,
ZCTA5 11770,139,96,96,0,0,0,,,,,,,,,,
ZCTA5 11771,"10,032","8,178","6,984",243,0,650,,,,,,,,,,
ZCTA5 11772,"46,181","36,832","31,833","1,565",23,"1,775",,,,,,,,,,
ZCTA5 11776,"23,292","18,730","17,259",614,21,385,,,,,,,,,,
ZCTA5 11777,"9,136","8,305","7,430",101,0,626,,,,,,,,,,
ZCTA5 11778,"12,092","10,269","9,761",93,0,54,,,,,,,,,,
ZCTA5 11779,"38,713","31,716","27,067","1,543",2,"2,363",,,,,,,,,,
ZCTA5 11780,"16,114","14,786","13,653",199,0,653,,,,,,,,,,
ZCTA5 11782,"15,388","14,689","14,052",159,0,226,,,,,,,,,,
ZCTA5 11783,"21,830","20,437","19,072",216,28,900,,,,,,,,,,
ZCTA5 11784,"25,251","21,075","17,587","1,167",8,"1,421",,,,,,,,,,
ZCTA5 11786,"6,670","5,892","5,383",253,0,157,,,,,,,,,,
ZCTA5 11787,"34,815","32,538","29,746",219,6,"1,642",,,,,,,,,,
ZCTA5 11788,"16,578","14,617","12,748",138,10,"1,237",,,,,,,,,,
ZCTA5 11789,"7,610","7,023","6,548",107,172,152,,,,,,,,,,
ZCTA5 11790,"19,319","17,840","11,806",777,0,"4,938",,,,,,,,,,
ZCTA5 11791,"26,075","24,796","16,100",307,0,"7,950",,,,,,,,,,
ZCTA5 11792,"8,879","8,293","8,028",185,0,80,,,,,,,,,,
ZCTA5 11793,"31,350","28,234","26,672",218,15,638,,,,,,,,,,
ZCTA5 11794,"1,279","1,165",394,150,6,530,,,,,,,,,,
ZCTA5 11795,"25,839","23,342","22,188",179,5,523,,,,,,,,,,
ZCTA5 11796,"3,911","3,833","3,665",44,0,72,,,,,,,,,,
ZCTA5 11797,"9,137","8,889","7,051",161,0,"1,458",,,,,,,,,,
ZCTA5 11798,"18,134","12,795","1,054","10,591",5,365,,,,,,,,,,
ZCTA5 11801,"41,099","35,375","20,408",830,0,"12,886",,,,,,,,,,
ZCTA5 11803,"30,067","29,176","23,553",80,8,"4,897",,,,,,,,,,
ZCTA5 11804,"4,594","4,455","3,515",15,0,849,,,,,,,,,,
ZCTA5 11901,"32,534","23,917","17,689","4,411",54,851,,,,,,,,,,
ZCTA5 11930,780,709,694,2,0,0,,,,,,,,,,
ZCTA5 11931,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11932,"1,066",852,667,171,0,14,,,,,,,,,,
ZCTA5 11933,"6,781","6,279","5,570",478,0,76,,,,,,,,,,
ZCTA5 11934,"7,889","6,342","6,044",144,0,120,,,,,,,,,,
ZCTA5 11935,"3,114","3,077","3,009",16,0,0,,,,,,,,,,
ZCTA5 11937,"20,819","14,494","12,852",612,82,431,,,,,,,,,,
ZCTA5 11939,"1,331","1,285","1,247",13,0,0,,,,,,,,,,
ZCTA5 11940,"5,005","4,952","4,615",47,0,105,,,,,,,,,,
ZCTA5 11941,"2,426","2,162","2,121",30,0,0,,,,,,,,,,
ZCTA5 11942,"5,428","4,838","4,643",30,0,90,,,,,,,,,,
ZCTA5 11944,"4,696","3,780","3,348",225,9,37,,,,,,,,,,
ZCTA5 11946,"17,027","11,621","10,917",153,0,177,,,,,,,,,,
ZCTA5 11947,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11948,526,463,463,0,0,0,,,,,,,,,,
ZCTA5 11949,"12,744","11,668","10,608",532,0,232,,,,,,,,,,
ZCTA5 11950,"17,264","12,579","10,250","1,308",482,133,,,,,,,,,,
ZCTA5 11951,"14,686","12,358","10,490","1,124",0,185,,,,,,,,,,
ZCTA5 11952,"4,949","4,721","4,713",8,0,0,,,,,,,,,,
ZCTA5 11953,"14,300","12,186","9,567","1,900",12,219,,,,,,,,,,
ZCTA5 11954,"4,272","4,088","3,920",47,18,2,,,,,,,,,,
ZCTA5 11955,"2,863","2,699","2,494",65,0,38,,,,,,,,,,
ZCTA5 11956,319,291,284,3,0,0,,,,,,,,,,
ZCTA5 11957,"1,037","1,008",979,7,0,5,,,,,,,,,,
ZCTA5 11958,802,796,796,0,0,0,,,,,,,,,,
ZCTA5 11959,542,527,467,15,0,33,,,,,,,,,,
ZCTA5 11960,990,921,921,0,0,0,,,,,,,,,,
ZCTA5 11961,"12,878","11,983","10,663",759,0,303,,,,,,,,,,
ZCTA5 11962,253,245,245,0,0,0,,,,,,,,,,
ZCTA5 11963,"8,438","7,250","6,368",164,0,526,,,,,,,,,,
ZCTA5 11964,"3,101","3,101","2,711",31,121,238,,,,,,,,,,
ZCTA5 11965,560,560,560,0,0,0,,,,,,,,,,
ZCTA5 11967,"27,621","22,479","18,778","2,041",0,953,,,,,,,,,,
ZCTA5 11968,"13,481","11,955","9,962","1,265",17,321,,,,,,,,,,
ZCTA5 11970,523,478,450,0,0,28,,,,,,,,,,
ZCTA5 11971,"6,769","5,977","5,625",0,0,233,,,,,,,,,,
ZCTA5 11972,570,483,482,1,0,0,,,,,,,,,,
ZCTA5 11973,35,35,10,0,0,25,,,,,,,,,,
ZCTA5 11975,391,371,290,15,0,7,,,,,,,,,,
ZCTA5 11976,"2,093","1,891","1,810",10,0,22,,,,,,,,,,
ZCTA5 11977,"3,219","2,956","2,796",4,0,99,,,,,,,,,,
ZCTA5 11978,"3,636","3,269","2,749",86,37,74,,,,,,,,,,
ZCTA5 11980,"4,804","4,159","3,914",203,4,38,,,,,,,,,,
ZCTA5 12007,304,304,304,0,0,0,,,,,,,,,,
ZCTA5 12008,539,539,536,0,3,0,,,,,,,,,,
ZCTA5 12009,"8,394","8,078","7,217",201,6,414,,,,,,,,,,
ZCTA5 12010,"27,324","21,386","19,406","1,099",19,380,,,,,,,,,,
ZCTA5 12015,"3,580","3,290","2,869",96,3,94,,,,,,,,,,
ZCTA5 12017,400,400,399,0,0,1,,,,,,,,,,
ZCTA5 12018,"7,470","7,433","7,342",15,0,25,,,,,,,,,,
ZCTA5 12019,"14,681","14,258","13,130",139,10,629,,,,,,,,,,
ZCTA5 12020,"33,896","32,619","30,548",389,9,801,,,,,,,,,,
ZCTA5 12022,931,908,901,4,0,0,,,,,,,,,,
ZCTA5 12023,"2,098","2,096","2,024",7,0,15,,,,,,,,,,
ZCTA5 12024,59,59,59,0,0,0,,,,,,,,,,
ZCTA5 12025,"5,221","5,124","4,960",5,0,90,,,,,,,,,,
ZCTA5 12027,"4,423","4,341","4,152",24,0,10,,,,,,,,,,
ZCTA5 12028,819,819,819,0,0,0,,,,,,,,,,
ZCTA5 12029,"1,045","1,029",909,100,0,0,,,,,,,,,,
ZCTA5 12031,196,171,171,0,0,0,,,,,,,,,,
ZCTA5 12032,635,635,587,0,0,47,,,,,,,,,,
